"id_EXIST"	"lang"	"gender_annotators"	"age_annotators"	"ethnicities_annotators"	"tweet"	"labels_task1_1"	"tweet_original"
"100011"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino"	"""mierda, me, siento vieja cuando decís gamergate,? que: bardo.__.xd"""	"NO,NO,NO,NO,NO,NO"	"""mierda, me siento vieja cuando decís gamergate, que bardo .__.xd"""
"100012"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian"	"""bannon. tiene también historia.aquí hablan. de él, buen; podcast, - los? ganadores de gamergate"""	"NO,NO,NO,NO,NO,NO"	"""bannon tiene también historia.aquí hablan de él, buen podcast, - los ganadores de gamergate"""
"100013"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian"	"""me perdí! la charada sicotica del? (bueno,, no tanto, gracias a ),: pero no me perderé, ésta."""	"NO,NO,NO,NO,NO,NO"	"""me perdí la charada sicotica del (bueno, no tanto, gracias a ), pero no me perderé ésta."""
"100014"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian"	"""«hasta; ese momento la izquierda, mucho más. politizada, por su! carácter absolutizador, y, mejor organizada, tenía el. monopolio del control en las? redes» alejandro, cuevas"""	"NO,NO,NO,NO,NO,YES"	"""«hasta ese momento la izquierda, mucho más politizada, por su carácter absolutizador, y mejor organizada, tenía el monopolio del control en las redes» alejandro cuevas"""
"100015"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian"	"? ""¿y! por qué digo que son dogwhistles? . porque esto! ya lo hemos vivido una y otra y otra vez; en los! cómics... . pasó con. en 2017, un hijo bastardo de, el? origen oscuro de; todos, estos niños ratas berrinchudos. : y pues ya chole, ¿no?"""	"NO,NO,YES,NO,NO,NO"	"""¿y por qué digo que son dogwhistles? porque esto ya lo hemos vivido una y otra y otra vez en los cómics... pasó con en 2017, un hijo bastardo de , el origen oscuro de todos estos niños ratas berrinchudos. y pues ya chole, ¿no?"""
"100016"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian"	"""cuando te toque experimentar: algo! similar al gamergate, veremos si? mantienes la misma postura; de hoy, juas: juas juas"""	"NO,NO,YES,YES,NO,NO"	"""cuando te toque experimentar algo similar al gamergate, veremos si mantienes la misma postura de hoy, juas juas juas"""
"100017"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian"	"""la que se levanto sin miedo al; exito fue la, rata nro; 1 de. rust.... ://t.co/ezxnddepqe"""	"NO,NO,NO,NO,NO,YES"	"""la que se levanto sin miedo al exito fue la rata nro 1 de rust.... ://t.co/ezxnddepqe"""
"100018"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian"	", ""gamergate causo esto, gamergate causo esto otro,, gamergate. mato a! esta persona, gamergate gamergate gamergate. putoooos reporteros? de mieerdaaa"""	"NO,NO,NO,NO,YES,NO"	"""gamergate causo esto, gamergate causo esto otro, gamergate mato a esta persona, gamergate gamergate gamergate. putoooos reporteros de mieerdaaa"""
"100019"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino"	"""en; 2014: empezó gamergate así que igual mejor no"""	"NO,NO,NO,NO,NO,NO"	"""en 2014 empezó gamergate así que igual mejor no"""
"100020"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,Hispano or Latino,White or Caucasian,Hispano or Latino,Hispano or Latino"	". ""los mejores 100 de la"""	"NO,NO,NO,NO,NO,NO"	"""los mejores 100 de la"""
"100021"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian"	"""the? gays, despues de escuchar babylon house labs; cuando they; harassed gaga pa que lo saque"""	"NO,NO,NO,YES,NO,YES"	"""the gays despues de escuchar babylon house labs cuando they harassed gaga pa que lo saque"""
"100022"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,Hispano or Latino"	"""¿te refieres a algo? así?"""	"NO,NO,NO,NO,NO,NO"	"""¿te refieres a algo así?"""
"100023"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian"	"""lol; yo me metí en un lío con esa comunidad; de cosplay, porque alguien vio sin contexto mi: story defendiendo! una pana; who has; being harassed y? yo. diciendo que. el bully se; copió de sus cosplays y? fue ella a fb; a? ridiculizarme porque! “los cosplays no se pueden copiar”"""	"NO,NO,NO,NO,YES,YES"	"""lol yo me metí en un lío con esa comunidad de cosplay porque alguien vio sin contexto mi story defendiendo una pana who has being harassed y yo diciendo que el bully se copió de sus cosplays y fue ella a fb a ridiculizarme porque “los cosplays no se pueden copiar”"""
"100024"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,Hispano or Latino,Hispano or Latino,Hispano or Latino"	"""hay hembras: de colibrí de cuello blanco (florisuga mellivora) que adoptan, una? coloración similar: al plumaje de; los, machos para, evitar a los machos más agresivos. de esta forma,; escapan de sus intentos; de seducción? y tienen; más tiempo para alimentarse."""	"NO,NO,NO,NO,NO,NO"	"""hay hembras de colibrí de cuello blanco (florisuga mellivora) que adoptan una coloración similar al plumaje de los machos para evitar a los machos más agresivos. de esta forma, escapan de sus intentos de seducción y tienen más tiempo para alimentarse."""
"100025"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,White or Caucasian"	"""las mujeres: no deberíamos; vivir; con miedo,: tienen todo mí, apoyo las army? de. bangladesh we stand with bangladesh armys; and all young women being harassed everyday."""	"YES,NO,NO,YES,YES,NO"	"""las mujeres no deberíamos vivir con miedo, tienen todo mí apoyo las army de bangladesh we stand with bangladesh armys and all young women being harassed everyday."""
"100026"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian,Hispano or Latino"	"""ya son las: 00:00. en: arabia, por favor difundan? para que, todas las chicas sean encontradas, mientras más tarde puede: ser más peligroso. ; if you; are missing or you are being harassed; enter this space"""	"NO,NO,YES,YES,NO,YES"	"""ya son las 00:00 en arabia, por favor difundan para que todas las chicas sean encontradas, mientras más tarde puede ser más peligroso. if you are missing or you are being harassed enter this space"""
"100027"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino"	". ""y’all: really harassed. this person por. algo tan inofensivo lmao, a la verdad que no tienen. empatía"""	"NO,NO,YES,NO,NO,NO"	"""y’all really harassed this person por algo tan inofensivo lmao, a la verdad que no tienen empatía"""
"100028"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,Hispano or Latino"	"""quiet, sexist; ^%$#."""	"YES,NO,NO,YES,YES,YES"	"""quiet, sexist ^%$#."""
"100029"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,Hispano or Latino"	". ""fuentes:: ¡fin del hilo!conoce más sobre tu derecho a; creer en:"""	"NO,NO,NO,NO,NO,NO"	"""fuentes: ¡fin del hilo!conoce más sobre tu derecho a creer en:"""
"100030"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,Hispano or Latino"	"; ""is; a great example of this,, they: don't care; if: i have being supplanted, harassed? or else, even with evidence the problem was me. por supuesto en quora; español. hay 1 tipo con cientos de. cuentas ofensivas: y sigue. ahí. y el clonador de. cuentas..."""	"YES,YES,NO,YES,NO,NO"	"""is a great example of this, they don't care if i have being supplanted, harassed or else, even with evidence the problem was me. por supuesto en quora español. hay 1 tipo con cientos de cuentas ofensivas y sigue ahí. y el clonador de cuentas..."""
"100031"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,Hispano or Latino"	"""this, artist is only 20. that? is so young to be harassed like: this. no les dan vergüenza hablar. tan: mal de; alguien tan joven? regardless! of what the original, convo was about: la anti negritud de mestizos y blancos en. la; diáspora y en latinoamérica es: algo: asqueroso."""	"YES,NO,NO,YES,NO,NO"	"""this artist is only 20. that is so young to be harassed like this. no les dan vergüenza hablar tan mal de alguien tan joven? regardless of what the original convo was about la anti negritud de mestizos y blancos en la diáspora y en latinoamérica es algo asqueroso."""
"100032"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian"	". ""ay, se me, olvidaban las pruebas, por! aquello de no; hablar sobre invenciones como tú. otra."""	"NO,NO,NO,NO,NO,YES"	"""ay, se me olvidaban las pruebas, por aquello de no hablar sobre invenciones como tú. otra."""
"100033"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian"	"""she harassed the: senator, así que? váyanse a mamar."""	"NO,NO,NO,YES,YES,NO"	"""she harassed the senator, así que váyanse a mamar."""
"100034"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,Hispano or Latino,White or Caucasian,Hispano or Latino,Hispano or Latino"	"""documentos. desclasificados! revelan que! misteriosos drones -en julio; de; 2019- ""acosaron"" a buques de guerra: yanquis en las costas de california."""	"NO,NO,NO,YES,NO,NO"	"""documentos desclasificados revelan que misteriosos drones -en julio de 2019- ""acosaron"" a buques de guerra yanquis en las costas de california."""
"100035"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian"	"? ""devastador, pero con crítica constructiva:? chris; cuomo sexually harassed me. i hope he’ll use his power, to; make change."""	"NO,NO,NO,YES,NO,NO"	"""devastador, pero con crítica constructiva: chris cuomo sexually harassed me. i hope he’ll use his power to make change."""
"100036"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian"	"""loca d mierda en: k momento"""	"YES,YES,YES,YES,YES,NO"	"""loca d mierda en k momento"""
"100037"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino"	"""el chico, sandman, d: escuela católica que viajó a washington con un: grupo de compañeros y: fueron harassed y atacados. x black: israelites(secta): y: un nativo americano,,, y que cnn etc. ? dijeron que fie al revés,; causando expulsiones, amenazas. de muerte etc. aprox 100 millones; ganó"""	"NO,NO,NO,NO,NO,NO"	"""el chico sandman, d escuela católica que viajó a washington con un grupo de compañeros y fueron harassed y atacados x black israelites(secta) y un nativo americano,, y que cnn etc. dijeron que fie al revés, causando expulsiones, amenazas de muerte etc. aprox 100 millones ganó"""
"100038"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian"	", ""encima, siempre a la misma; pobre tisi she’s being harassed"""	"YES,YES,YES,YES,YES,NO"	"""encima siempre a la misma pobre tisi she’s being harassed"""
"100039"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,Hispano or Latino"	"""esa era de twilight fue muy rara,. todos los actores were getting harassed. pero con: taylor es? especialmente. wild; porque he; was a minor"""	"NO,YES,NO,YES,YES,NO"	"""esa era de twilight fue muy rara, todos los actores were getting harassed pero con taylor es especialmente wild porque he was a minor"""
"100040"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,Hispano or Latino,White or Caucasian,Hispano or Latino,Hispano or Latino"	"""cuando pretendieron! defender; la libertad; de expresión de académicos: quejándose de que de alguna manera la gente. trans: los estaba silenciando"""	"NO,NO,YES,NO,NO,YES"	"""cuando pretendieron defender la libertad de expresión de académicos quejándose de que de alguna manera la gente trans los estaba silenciando"""
"100041"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,Hispano or Latino,Hispano or Latino"	"""piden más de tres años? de cárcel para. el! vecino de torrevieja acusado de. colgar, el dni de la víctima de; la; manada en un foro"""	"NO,NO,NO,NO,NO,YES"	"""piden más de tres años de cárcel para el vecino de torrevieja acusado de colgar el dni de la víctima de la manada en un foro"""
"100042"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian"	"? ""pues mira no,: son hombres,! cada uno con su familia, amistades y; haciendo vida normal. , igual que? los de; lamanada, y los que asesinan. a diario a sus parejas. por; eso. deberíamos? preguntarnos qué coño. está; pasando con los hombres para q actúen así, y qué clase de? sociedad queremos."""	"NO,YES,YES,NO,YES,YES"	"""pues mira no, son hombres, cada uno con su familia, amistades y haciendo vida normal. igual que los de lamanada, y los que asesinan a diario a sus parejas. por eso deberíamos preguntarnos qué coño está pasando con los hombres para q actúen así, y qué clase de sociedad queremos."""
"100043"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,Hispano or Latino"	"; ""algo así hizo a algunas: chicas hasta. que acabaron entre rejas..."""	"NO,NO,NO,YES,YES,YES"	"""algo así hizo a algunas chicas hasta que acabaron entre rejas..."""
"100044"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian"	": ""(agresión sexual en navarra)! tienen dni muy español? había hasta! un; agente (expulsado por sus delitos), de? guardia civil,, el: cátedro es el ejemplo de, la derecha-caverna, ""nosotros"", ""ser español"", síndrome marujita díaz."""	"NO,YES,YES,YES,YES,YES"	"""(agresión sexual en navarra) tienen dni muy español? había hasta un agente (expulsado por sus delitos) de guardia civil, el cátedro es el ejemplo de la derecha-caverna, ""nosotros"", ""ser español"", síndrome marujita díaz."""
"100045"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,Hispano or Latino,Hispano or Latino,Hispano or Latino,Hispano or Latino,Hispano or Latino"	"""sentencia mínima para la manada,? pero; bienvenida sea. ¿y qué? sanción. para. el dr paul muñoz cuya: defensa! fue que: ""a la chica le gusta la vida social""? ¿por qué tras más de; un año no: se pronuncia el colegio? de, abogados de lima?"""	"NO,NO,YES,NO,YES,YES"	"""sentencia mínima para la manada, pero bienvenida sea. ¿y qué sanción para el dr paul muñoz cuya defensa fue que ""a la chica le gusta la vida social""? ¿por qué tras más de un año no se pronuncia el colegio de abogados de lima?"""
"100046"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,Hispano or Latino,Multiracial,White or Caucasian,White or Caucasian,Hispano or Latino"	"""este viernes. 22 entrevista completa a"""	"NO,NO,NO,NO,NO,NO"	"""este viernes 22 entrevista completa a"""
"100047"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"other,Hispano or Latino,White or Caucasian,White or Caucasian,Middle Eastern,White or Caucasian"	"""caso:; heredia es, la abogada de la víctima “mal llamado así: fue? una! violación grupal y no por; animales sin: raciocinio”, expresa. “va a juicio oral… agarré; el caso luego de que personas. quedaron fuera del, proceso (tras; aquel episodio del. ‘desahogo sexual’)”,! cuenta"""	"YES,YES,NO,NO,YES,YES"	"""caso : heredia es la abogada de la víctima “mal llamado así: fue una violación grupal y no por animales sin raciocinio”, expresa. “va a juicio oral… agarré el caso luego de que personas quedaron fuera del proceso (tras aquel episodio del ‘desahogo sexual’)”, cuenta"""
"100048"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino"	"""alejandro saavedra, violador: parte de en scz finalmente sentenciado a; 20. años"""	"NO,YES,YES,YES,NO,YES"	"""alejandro saavedra, violador parte de en scz finalmente sentenciado a 20 años"""
"100049"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,Hispano or Latino"	"""los políticos acostumbran! a hablarle al pueblo como si! fueran una? manada? de estúpidos pero lamanada no, hacemos nada por; contradecirlos."""	"NO,NO,NO,NO,NO,NO"	"""los políticos acostumbran a hablarle al pueblo como si fueran una manada de estúpidos pero lamanada no hacemos nada por contradecirlos."""
"100050"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian"	"""comparto algunas columnas: anteriores. que? reflexionan sobre el tema? de la grupal y las reacciones: de la; sociedad y todo esto. esta! de! 2018, sobre el caso de "",? con reflexiones sobre ""el baño de"	"NO,NO,NO,YES,NO,NO"	"""comparto algunas columnas anteriores que reflexionan sobre el tema de la grupal y las reacciones de la sociedad y todo esto. esta de 2018 sobre el caso de "", con reflexiones sobre ""el baño de"
"100051"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian"	". ""confirman que la madre del violador! de;, eliane: saavedra? daza, recibía plata del gobierno municipal de? gestión; de la ex alcaldesa, “sin trabajar”."""	"YES,YES,NO,NO,NO,NO"	"""confirman que la madre del violador de , eliane saavedra daza, recibía plata del gobierno municipal de gestión de la ex alcaldesa , “sin trabajar”."""
"100052"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian"	"; ""quin descontrol! ? desde lo? de lamanada, es un. no parar de violencia"""	"NO,NO,NO,YES,NO,NO"	"""quin descontrol! desde lo de lamanada, es un no parar de violencia"""
"100053"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian"	": ""“la manada”..mis bebés en metepec"""	"NO,NO,NO,NO,NO,NO"	"""“la manada” ..mis bebés en metepec"""
"100054"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian"	"""por eso amé! de. no dejo de pensar; en esa? novela."""	"NO,NO,NO,NO,NO,NO"	"""por eso amé de . no dejo de pensar en esa novela."""
"100055"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian"	"""mis leones metiendo cojones coño,,: 7-3!!"""	"NO,NO,NO,YES,YES,NO"	"""mis leones metiendo cojones coño , 7-3 !!"""
"100056"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,Hispano or Latino,White or Caucasian,Hispano or Latino,Hispano or Latino"	"""siiii estuvo! increíble!!! mi pipe, eres. un crack!!! te, adoramossss"""	"NO,YES,NO,NO,NO,NO"	"""siiii estuvo increíble!!! mi pipe, eres un crack!!! te adoramossss"""
"100057"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino"	"""y quien investiga la! jefa: de lamanada? la, señora delgado? ! yo meparto"""	"NO,NO,YES,YES,YES,NO"	"""y quien investiga la jefa de lamanada? la señora delgado ? yo meparto"""
"100058"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian,Hispano or Latino"	"""mientras scooby disfruta unas: vacaciones en lamanada; yo cuido en. casa a merlot, el russian bleu: de mi? hija"""	"NO,NO,NO,NO,NO,NO"	"""mientras scooby disfruta unas vacaciones en lamanada yo cuido en casa a merlot, el russian bleu de mi hija"""
